YEAR,STATE,REGION,PRCP Apr,PRCP Aug,PRCP Dec,PRCP Feb,PRCP Jan,PRCP Jul,PRCP Jun,PRCP Mar,PRCP May,PRCP Nov,PRCP Oct,PRCP Sep,SNOW Apr,SNOW Aug,SNOW Dec,SNOW Feb,SNOW Jan,SNOW Jul,SNOW Jun,SNOW Mar,SNOW May,SNOW Nov,SNOW Oct,SNOW Sep,SNWD Apr,SNWD Aug,SNWD Dec,SNWD Feb,SNWD Jan,SNWD Jul,SNWD Jun,SNWD Mar,SNWD May,SNWD Nov,SNWD Oct,SNWD Sep,TAVG Apr,TAVG Aug,TAVG Dec,TAVG Feb,TAVG Jan,TAVG Jul,TAVG Jun,TAVG Mar,TAVG May,TAVG Nov,TAVG Oct,TAVG Sep,TMAX Apr,TMAX Aug,TMAX Dec,TMAX Feb,TMAX Jan,TMAX Jul,TMAX Jun,TMAX Mar,TMAX May,TMAX Nov,TMAX Oct,TMAX Sep,TMIN Apr,TMIN Aug,TMIN Dec,TMIN Feb,TMIN Jan,TMIN Jul,TMIN Jun,TMIN Mar,TMIN May,TMIN Nov,TMIN Oct,TMIN Sep,COMMODITY,ACRES HARVESTED,ACRES PLANTED,YIELD
2015,UTAH,WEST,0.034545454545454546,0.028634361233480177,0.039092872570194385,0.02382198952879581,0.02379746835443038,0.044130434782608696,0.03429844097995546,0.028,0.09240780911062907,0.03408577878103838,0.05625,0.03229398663697105,0.12886363636363637,0.027312775330396475,0.41339092872570193,0.21413612565445025,0.09974683544303797,0.026956521739130435,0.026726057906458798,0.1887058823529412,0.005422993492407809,0.16117381489841986,0.026724137931034484,0.026726057906458798,0.16795454545454547,0.09559471365638766,2.1129589632829373,0.4400523560209424,0.8708860759493671,0.09434782608695652,0.0935412026726058,0.592,0.0021691973969631237,0.2767494356659142,0.09353448275862068,0.0935412026726058,48.47659090909091,72.49229074889868,26.034341252699782,40.63939790575916,30.23012658227848,71.67673913043478,70.91559020044544,45.46870588235294,55.33524945770065,36.16613995485327,55.929094827586205,66.79654788418709,63.11204545454545,87.95044052863436,36.666306695464364,53.6651832460733,40.14582278481013,86.37521739130435,87.16570155902005,60.1844705882353,67.56030368763557,48.558916478555304,69.13318965517242,82.74365256124722,33.841136363636366,57.034140969163,15.402375809935206,27.613612565445024,20.314430379746835,56.97826086956522,54.66547884187082,30.75294117647059,43.11019522776572,23.773363431151243,42.725,50.84944320712695,WHEAT,128000.0,135000.0,48.5
2020,ILLINOIS,MIDWEST,0.13224699828473413,0.059644874899112195,0.05692307692307692,0.060101437024513954,0.13112687155240346,0.1710016155088853,0.12646566164154105,0.11930977814297451,0.17694174757281556,0.0908256880733945,0.08821630347054076,0.11631799163179916,0.045969125214408234,0.005004035512510089,0.08404858299595142,0.22924767540152155,0.15610717100078803,0.005008077544426495,0.005025125628140704,0.058504519309778145,0.005016181229773463,0.010592160133444536,0.00573042776432607,0.00502092050209205,0.05574614065180103,0.022518159806295398,0.19894736842105262,0.6609467455621302,0.5101654846335697,0.022536348949919224,0.022613065326633167,0.049219391947411664,0.02257281553398058,0.02418682235195997,0.022518159806295398,0.022594142259414227,48.59412521440823,72.59443099273608,31.803846153846155,30.48706677937447,30.630299448384555,76.92294022617125,73.22110552763819,42.976335250616266,59.90894012944984,46.4069224353628,51.02223567393059,65.26309623430961,59.7557461406518,83.44753833736884,40.687125506072874,38.54835164835165,37.644602048857365,86.79757673667204,84.28048576214405,51.922760887428105,69.50194174757281,57.40783986655546,61.941323648103314,76.24702928870293,37.432504288164665,61.74132364810331,22.920566801619433,22.425781910397294,23.61599684791174,67.04830371567044,62.161725293132335,34.029909613804435,50.31593851132686,35.40600500417015,40.10314769975787,54.27916317991632,SOYBEANS,10250000.0,10300000.0,60.0
2022,INDIANA,MIDWEST,0.09745098039215687,0.14050632911392405,0.06563636363636365,0.15879828326180256,0.050192307692307696,0.1743169398907104,0.06486988847583643,0.12887189292543022,0.1453405017921147,0.05476635514018692,0.062748643761302,0.0724907063197026,0.027450980392156862,0.004701627486437613,0.08527272727272726,0.41781115879828323,0.10634615384615384,0.0,0.005204460966542751,0.047992351816443596,0.005555555555555556,0.055700934579439254,0.0054249547920434,0.0055762081784386614,0.00784313725490196,0.0,0.22763636363636364,2.3948497854077253,0.4511538461538461,0.0,0.0,0.06118546845124283,0.0,0.07663551401869159,0.0,0.0,47.985098039215686,71.7245931283906,30.897,28.924785407725324,23.497788461538462,73.73624772313296,69.72230483271375,42.458126195028676,62.51944444444444,42.74943925233645,52.43535262206148,65.77648698884758,58.67686274509804,81.98119349005425,38.464181818181814,38.10472103004292,32.93557692307692,84.19963570127504,82.25204460966542,53.171319311663474,73.35931899641577,53.20598130841122,65.87866184448463,77.55315985130112,37.29333333333333,61.46799276672695,23.32981818181818,19.744849785407727,14.06,63.272859744990896,57.19256505576208,31.744933078393878,51.67956989247312,32.292897196261684,38.992043399638334,53.99981412639406,SOYBEANS,5830000.0,5850000.0,57.5
2008,IOWA,MIDWEST,0.20741289844329133,0.059164222873900295,0.07194570135746607,0.05839813374805598,0.02092020129403307,0.18924731182795698,0.29977777777777775,0.03354978354978355,0.19053084648493546,0.057327258921791954,0.10271460014673514,0.12896133434420015,0.01134173461823573,0.0,0.48393665158371046,0.5437791601866252,0.3124370956146657,0.0,0.0,0.09848484848484848,0.0,0.05558086560364465,0.0,0.0,0.010155670867309117,0.0,3.6682503770739068,6.116096423017107,3.7297627606038826,0.0,0.0,1.4437950937950936,0.0,0.054517843583902804,0.0,0.0,45.6939214232765,70.05439882697947,17.41259426847662,16.423211508553656,16.40294751976995,73.21071684587814,69.56507407407408,32.14534632034632,57.330738880918226,37.2077828397874,50.67960381511372,63.629112964366946,55.92765011119347,81.66517595307918,27.6473604826546,25.792690513219284,25.63055355859094,83.7810752688172,80.16518518518518,41.79170274170274,69.27187948350071,46.556492027334855,62.276595744680854,74.87975739196361,35.46019273535953,58.44362170087977,7.177828054298642,7.053732503888025,7.1753414809489575,62.64035842293907,58.964962962962964,22.498989898989898,45.389598278335725,27.85907365223994,39.08261188554659,52.37846853677028,SOYBEANS,9670000.0,9750000.0,46.5
2009,DELAWARE,SOUTH,0.18000000000000002,0.2935483870967742,0.2806451612903226,0.10717980295566501,0.0903225806451613,0.06774193548387097,0.2,0.0971774193548387,0.16451612903225807,0.13333333333333333,0.21935483870967742,0.2,0.0,0.0,0.5967741935483871,0.5049788881069669,0.04838709677419355,0.0,0.0,0.480184331797235,0.0,0.0,0.0,0.0,0.0,0.0,2.532258064516129,0.6653624208304013,0.06451612903225806,0.0,0.0,0.36958525345622123,0.0,0.0,0.0,0.0,55.4,77.91935483870968,37.41935483870968,38.64366643209008,31.951612903225808,75.2741935483871,71.25,45.79238671274961,63.5,51.516666666666666,57.7241935483871,67.6,65.5,86.6774193548387,45.32258064516129,47.76326530612245,40.225806451612904,84.41935483870968,79.63333333333334,55.52870583717358,72.2258064516129,59.63333333333333,66.86774193548388,75.43333333333334,45.3,69.16129032258064,29.516129032258064,29.524067558057705,23.677419354838708,66.12903225806451,62.86666666666667,36.056067588325654,54.774193548387096,43.4,48.58064516129032,59.766666666666666,SOYBEANS,183000.0,185000.0,42.0
2011,DELAWARE,SOUTH,0.11333333333333333,0.2903225806451613,0.13870967741935483,0.08928571428571429,0.1032258064516129,0.13333333333333333,0.060000000000000005,0.1,0.1032258064516129,0.02,0.1064516129032258,0.12666666666666668,1.3,1.3,1.3,1.5964285714285715,2.4064516129032256,0.0,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.207142857142857,1.425806451612903,1.4,1.4,1.4,1.4,1.4,1.4,1.4,59.4,76.1774193548387,44.91935483870968,40.910714285714285,31.080645161290324,81.95,76.25,45.403225806451616,68.04838709677419,51.916666666666664,58.24193548387097,71.71666666666667,70.96666666666667,85.6774193548387,55.25806451612903,52.142857142857146,38.67741935483871,92.43333333333334,87.06666666666666,55.74193548387097,78.45161290322581,62.4,68.06451612903226,79.33333333333333,47.833333333333336,66.6774193548387,34.58064516129032,29.678571428571427,23.483870967741936,71.46666666666667,65.43333333333334,35.064516129032256,57.645161290322584,41.43333333333333,48.41935483870968,64.1,SOYBEANS,168000.0,170000.0,39.5
2011,SOUTH DAKOTA,MIDWEST,0.0625,0.07782258064516129,0.007407407407407408,0.03705357142857143,0.03346774193548387,0.10443548387096774,0.13765690376569037,0.032661290322580645,0.132258064516129,0.009328358208955223,0.041935483870967745,0.01380952380952381,0.7366666666666667,0.3625,0.13777777777777778,1.2093749999999999,0.9415322580645161,0.425,0.32259414225941424,0.6370967741935484,0.3,0.26156716417910447,0.25,0.07142857142857142,1.2491666666666668,1.75,0.7637037037037038,12.976785714285715,12.578225806451613,2.0375,1.2364016736401673,7.853225806451612,1.2375,1.5208955223880598,1.5625,1.0142857142857142,43.525,72.7258064516129,26.964814814814815,16.720535714285713,13.199596774193548,76.7258064516129,65.48117154811716,27.58467741935484,53.66532258064516,34.30279850746268,52.14717741935484,61.05952380952381,53.75416666666667,85.8024193548387,37.385185185185186,27.3,23.278225806451612,88.52016129032258,76.7866108786611,37.25806451612903,64.08870967741936,47.30186567164179,65.09677419354838,75.24761904761905,33.295833333333334,59.649193548387096,16.544444444444444,6.141071428571428,3.120967741935484,64.93145161290323,54.17573221757322,17.911290322580644,43.24193548387097,21.30373134328358,39.19758064516129,46.871428571428574,WHEAT,2787000.0,2878000.0,37.3
2012,LOUISIANA,SOUTH,0.1564593301435407,0.25787037037037036,0.16543778801843317,0.24850000000000003,0.15253456221198158,0.18387096774193548,0.14615384615384616,0.2847222222222222,0.04398148148148148,0.03428571428571429,0.0691588785046729,0.16904761904761906,0.07177033492822966,0.07175925925925926,0.07142857142857142,0.0725,0.07142857142857142,0.07142857142857142,0.07211538461538461,0.07175925925925926,0.07175925925925926,0.07142857142857142,0.07242990654205607,0.07142857142857142,0.0861244019138756,0.0861111111111111,0.0857142857142857,0.087,0.0857142857142857,0.0857142857142857,0.08653846153846154,0.0861111111111111,0.0861111111111111,0.08571428571428572,0.08691588785046728,0.08571428571428572,68.44090909090909,82.18055555555556,54.295161290322575,54.8905,54.210368663594465,82.27649769585254,80.44951923076923,66.75324074074075,76.01388888888889,56.53333333333333,65.53971962616822,77.59404761904761,80.02870813397129,91.52777777777777,65.46543778801843,63.872,65.84746543778802,91.42396313364056,91.07692307692308,77.17129629629629,86.6574074074074,69.9047619047619,77.36915887850468,88.03142857142856,56.85311004784688,72.83333333333333,43.12488479262673,45.909,42.57327188940092,73.12903225806451,69.82211538461539,56.33518518518518,65.37037037037037,43.161904761904765,53.71028037383178,67.15666666666667,RICE,397000.0,402000.0,6430.0
2017,TEXAS,SOUTH,0.10720242608036391,0.2200438917337235,0.0676948051948052,0.058695652173913045,0.08058608058608059,0.07881918819188191,0.10709433962264152,0.07686676427525622,0.08575602629656684,0.03213689482470785,0.04199029126213592,0.094553706505295,0.015163002274450341,0.020043891733723482,0.07280844155844156,0.014492753623188406,0.03677655677655678,0.020590405904059042,0.020377358490566037,0.011346998535871157,0.02037983929875822,0.024207011686143573,0.022249190938511326,0.0113464447806354,0.09507202426080363,0.09305047549378201,0.1109577922077922,0.09927536231884057,0.11201465201465202,0.0985239852398524,0.09962264150943397,0.09773060029282576,0.09327976625273923,0.11185308848080133,0.11035598705501619,0.09984871406959153,65.65833965125096,79.20596196049745,45.8487012987013,56.88357487922705,49.51190476190476,81.90236162361623,79.05849056603773,61.58898243045388,70.13374726077429,57.78451585976628,64.37588996763755,75.13150529500757,78.73843821076574,89.68493050475494,58.33831168831169,70.82616747181964,61.38710622710622,93.94214022140221,90.932,74.89363103953147,83.42607742878013,70.96318864774624,78.00299352750808,87.21323751891073,52.57824109173616,68.72699341623995,33.35909090909091,42.94098228663446,37.636703296703296,69.86258302583026,67.18498113207548,48.28433382137628,56.84141709276844,44.60584307178631,50.74878640776699,63.04977307110439,RICE,158000.0,173000.0,7260.0
2008,KANSAS,MIDWEST,0.10986666666666667,0.12513440860215053,0.025940860215053766,0.06408045977011495,0.01706989247311828,0.125,0.21180555555555555,0.06761133603238867,0.20851612903225805,0.03791666666666667,0.14973118279569894,0.1625,0.014,0.0,0.10510752688172044,0.20488505747126437,0.08575268817204301,0.0,0.0,0.010121457489878543,0.004516129032258065,0.008749999999999999,0.0028225806451612906,0.0,0.006666666666666667,0.0,0.3139784946236559,0.5366379310344828,0.5502688172043011,0.0,0.0,0.008097165991902834,0.003870967741935484,0.008333333333333333,0.002688172043010753,0.0,51.023466666666664,73.0733870967742,32.86256720430107,35.34992816091954,34.07943548387097,76.04791666666667,71.84819444444445,44.79385964912281,62.00896774193548,45.94958333333333,55.514045698924726,65.55013888888888,63.42586666666667,84.07782258064516,44.66827956989247,46.71063218390805,45.96747311827957,88.2915322580645,83.91847222222222,57.782186234817814,74.60309677419355,58.14541666666666,67.95389784946236,77.05555555555556,38.621066666666664,62.06895161290323,21.056854838709675,23.989224137931036,22.19139784946237,63.80430107526882,59.77791666666666,31.805533063427802,49.41483870967742,33.753750000000004,43.0741935483871,54.04472222222222,SOYBEANS,3250000.0,3300000.0,37.0
